objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,img008c.jpg,,Quaranzine banner image,Robert Perret,2020-08-24,Line drawing of Joe Vandal with motto Quaranzines Telling Our Handmade Stories,zines;university of idaho;quarantine,"Moscow, Idaho",46.725562,-117.009633,original drawing,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,Corona Poems.docx,,Corona Poems,Ndaba Sibanda,06-22-2020,Poetry,poetry;quarantine,"Bulawayo, Zimbabwe",-20.1457,28.5873,docx,,Text,,eng,,
coll003,dwan81.pdf,,Dwan81,Donny Smith,06-26-2020,Poetry,poetry;quarantine,"Swathmore, Pennsylvania",39.9021,-75.3499,pdf,,Image;StillImage,application/pdf,eng,,
coll004,img007.jpg,,It is Quarantine Time,Shipley,06-22-2020,Hand drawn comic about life during quarantine,comic strip;drawing;quarantine,"Atlanta, Georgia",33.749,-84.388,original drawing,,Image;StillImage,image/jpeg,eng,,
coll005,Reporting - The Right to Know.docx,,Reporting - The Right to Know,Michael J. Moore,06-22-2020,Poetry,poetry;quarantine,"Seattle, Washington",47.6062,-122.3321,docx,,Text,,eng,,
coll006,uidaho_062120.docx,,The Second Round of the Pandemic,Yi-wen Huang,06-22-2020,Poetry,poetry;quarantine,"Gallup, New Mexico",35.5281,-108.7426,docx,,Text,,eng,,
coll007,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,